Tahiti,Upolu,Tongatapu,Rarotonga,Wallis,Niue
27.845000000000027,29.543999999999983,26.55200000000002,27.807999999999993,29.545000000000016,29.050999999999988
27.892999999999972,29.581000000000017,26.649999999999977,27.932000000000016,29.476999999999975,29.185000000000002
28.09699999999998,29.444000000000017,26.718000000000018,27.745000000000005,29.35899999999998,29.02800000000002
27.762,29.468999999999994,26.826000000000022,27.391999999999996,29.497000000000014,28.963000000000022
27.841999999999985,29.488999999999976,26.838000000000022,27.541999999999973,29.613,27.990999999999985
28.348000000000013,29.149999999999977,27.303999999999974,27.730999999999995,29.536999999999978,27.82299999999998
28.338000000000022,29.105000000000018,27.355999999999995,28.017999999999972,29.279999999999973,27.737000000000023
28.173000000000002,29.163999999999987,27.38499999999999,28.14100000000002,29.235000000000014,27.855999999999995
27.954999999999984,29.173000000000002,27.353999999999985,28.048000000000002,29.208000000000027,28.37099999999998
28.009000000000015,29.201000000000022,27.579000000000008,27.40300000000002,29.326999999999998,28.485000000000014
