Latitude,Longitude,Temperature
[-0.456],[166.625],"[29.905 29.901 29.904 29.902 29.892 29.892 29.891 29.893 29.894 29.881
 29.879 29.895 29.959 29.971 29.911 29.86  29.57  29.065 28.812 28.602
 27.463 26.389 25.802 25.502 25.251 24.903 24.306 23.725 22.867 22.56
 22.155 21.918 21.666 21.016 19.468 18.649 18.244 17.753 17.319 16.922
 16.173 15.585 15.45  14.85  14.595 14.421 13.872 13.52  13.428 12.772
 12.244 11.544 10.586 10.054  9.546  9.113  8.979  8.797  8.318  7.717
  7.46   7.308  7.116  6.767  6.619  6.528  6.404  6.33   6.25   5.947
  5.595  5.408  5.255  5.187  5.11   5.047  5.011  4.766  4.523  4.408
  4.304  4.222  4.173  4.16   4.055  4.01   3.933  3.875  3.75   3.696
  3.613  3.494  3.409  3.307  3.261  3.216  3.18   3.1  ]"
[-0.456],[166.625],"[29.922000885009766 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- --
 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- --
 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- --
 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- --
 -- -- -- -- -- -- --]"
